3. Valentinslauf 2023
Ergebnisse: 10 km

Gesamt;Stnr;Paarname;TN1;TN2;Ak;Platz AK;Endzeit;Rückstand
1;86.0;Je t'aime;Eric;Steven;Herren;1.0;0:34:32;
2;36.0;Kaffeeklatsch;Karen;Patrick;mixed;1.0;0:40:58;0:06:26
3;63.0;Stralau Runners;Jonathan;Mark;Herren;2.0;0:41:26;0:06:54
4;5.0;Spuartzgis;Ryan;Timothy;mixed;2.0;0:42:21;0:07:49
5;117.0;Doodle Runners;Anthony;Vanessa;mixed;3.0;0:42:31;0:07:59
6;44.0;Huso;James;Megan;mixed;4.0;0:46:25;0:11:53
7;52.0;Norma & Micha;Erik;Karen;Einzel;1.0;0:47:10;0:12:38
8;29.0;Herz;Cynthia;Deborah;mixed;5.0;0:47:31;0:12:59
9;11.0;Las tortugas veloces;Susan;Christopher;mixed;6.0;0:47:59;0:13:27
10;6.0;HBS Berlin;Natalie;Cheryl;Herren;3.0;0:49:52;0:15:20
11;51.0;HippHo;Kevin;Kevin;Herren;4.0;0:51:22;0:16:50
12;123.0;Grassomat;Traci;Felicia;mixed;7.0;0:51:35;0:17:03
13;138.0;Lito;William;Levi;mixed;8.0;0:51:37;0:17:05
14;23.0;F&J;Veronica;Anthony;mixed;9.0;0:51:43;0:17:11
15;24.0;Topete;Amanda;Robert;Herren;5.0;0:51:46;0:17:14
16;38.0;Die Rennschnecken;Daniel;Kevin;mixed;10.0;0:51:52;0:17:20
17;22.0;The Rose and the Little Prince;James;Tricia;mixed;11.0;0:52:57;0:18:25
18;127.0;Team Paul;Chad;Amanda;Herren;6.0;0:53:03;0:18:31
19;80.0;Rawr;Jeffrey;Kevin;Damen;1.0;0:53:17;0:18:45
20;115.0;Franzael;Sara;Carlos;mixed;12.0;0:53:40;0:19:08
21;18.0;Die Borowiaks;John;Tracey;mixed;13.0;0:53:53;0:19:21
22;30.0;Martini;Nathan;Joshua;Einzel;2.0;0:54:09;0:19:37
23;43.0;Team Langsam;Jason;Amanda;mixed;14.0;0:54:13;0:19:41
24;112.0;Bergpärchen seit 25 Jahren;Danielle;Vicki;mixed;15.0;0:54:51;0:20:19
25;304.0;Hasentiger;Marcus;Steven;mixed;16.0;0:55:01;0:20:29
26;2.0;Kathrin & Andreas;Cheryl;Brian;mixed;17.0;0:55:13;0:20:41
27;37.0;Heiderunners Schönow;Emily;Kimberly;mixed;18.0;0:55:23;0:20:51
28;45.0;ToniStoni;Adrian;Michael;Herren;7.0;0:55:35;0:21:03
29;79.0;Die Lochis;Jon;Peter;mixed;19.0;0:55:37;0:21:05
30;75.0;Fachleitung Sport;Oscar;Tony;mixed;20.0;0:56:05;0:21:33
